zipcode,state,population,is_sud_rehab_clinic_per_100k,is_sud_rehab_clinic_per_100k_capped_viz
61938,IL,20768.0,24.075500770416024,24.075500770416024
33064,FL,62429.0,24.0272950071281,24.0272950071281
82001,WY,37528.0,23.982093370283522,23.982093370283522
21040,MD,25138.0,23.868247275041767,23.868247275041767
98005,WA,20961.0,23.85382376795,23.85382376795
44718,OH,12607.0,23.796303640834456,23.796303640834456
91324,CA,29500.0,23.728813559322035,23.728813559322035
25550,WV,8432.0,23.719165085388994,23.719165085388994
70809,LA,25302.0,23.713540431586438,23.713540431586438
91403,CA,25329.0,23.688262465948124,23.688262465948124
99835,AK,8446.0,23.679848448969928,23.679848448969928
21117,MD,59154.0,23.66703857727288,23.66703857727288
62837,IL,8467.0,23.62111727884729,23.62111727884729
21620,MD,12726.0,23.573785950023574,23.573785950023574
63147,MO,8499.0,23.532180256500766,23.532180256500766
44505,OH,17048.0,23.46316283435007,23.46316283435007
20678,MD,12818.0,23.404587299110627,23.404587299110627
02842,RI,17115.0,23.371311714869996,23.371311714869996
82801,WY,25685.0,23.35993770683278,23.35993770683278
92653,CA,30077.0,23.273597765734614,23.273597765734614
64772,MO,12897.0,23.261223540358223,23.261223540358223
95827,CA,21566.0,23.18464249281276,23.18464249281276
59270,MT,8633.0,23.166917641607785,23.166917641607785
80235,CO,8639.0,23.150827642088203,23.150827642088203
45504,OH,17343.0,23.06406042783832,23.06406042783832
21221,MD,43381.0,23.05156635393375,23.05156635393375
43219,OH,30457.0,22.983222247759134,22.983222247759134
24266,VA,8705.0,22.975301550832857,22.975301550832857
90804,CA,39370.0,22.86004572009144,22.86004572009144
45123,OH,8776.0,22.789425706472198,22.789425706472198
16146,PA,13181.0,22.760033381382293,22.760033381382293
80905,CO,17592.0,22.737608003638016,22.737608003638016
36604,AL,8798.0,22.732439190725167,22.732439190725167
21701,MD,39629.0,22.710641197103133,22.710641197103133
85004,AZ,8833.0,22.642363862787278,22.642363862787278
23851,VA,13258.0,22.62784733745663,22.62784733745663
99001,WA,8859.0,22.57591150242691,22.57591150242691
90670,CA,17761.0,22.521254433871967,22.521254433871967
45214,OH,8901.0,22.469385462307606,22.469385462307606
01230,MA,8907.0,22.454249466711573,22.454249466711573
56649,MN,8923.0,22.41398632746834,22.41398632746834
06515,CT,17877.0,22.375118867818987,22.375118867818987
64735,MO,13450.0,22.304832713754646,22.304832713754646
85210,AZ,40351.0,22.304279943495825,22.304279943495825
08003,NJ,31402.0,22.29157378510923,22.29157378510923
92408,CA,13488.0,22.241992882562275,22.241992882562275
