zipcode,state,population,combined_all_facilities,combined_all_facilities_capped_viz
77040,TX,49524.0,9,9.0
90015,CA,27324.0,9,9.0
91423,CA,32635.0,9,9.0
47130,IN,48481.0,9,9.0
90047,CA,50154.0,9,9.0
78229,TX,33135.0,9,9.0
40203,KY,16801.0,9,9.0
41653,KY,10937.0,9,9.0
40216,KY,43434.0,9,9.0
81601,CO,16484.0,9,9.0
92008,CA,27282.0,9,9.0
93308,CA,56037.0,9,9.0
19401,PA,43414.0,9,9.0
27262,NC,25253.0,9,9.0
77002,TX,19844.0,9,9.0
80487,CO,18209.0,9,9.0
95202,CA,6949.0,9,9.0
90004,CA,58585.0,9,9.0
71104,LA,13680.0,9,9.0
75605,TX,32909.0,9,9.0
01803,MA,26074.0,9,9.0
60647,IL,85631.0,9,9.0
92117,CA,51505.0,9,9.0
98144,WA,32178.0,9,9.0
85044,AZ,39559.0,9,9.0
78249,TX,56996.0,9,9.0
10469,NY,71571.0,9,9.0
34983,FL,43654.0,9,9.0
43207,OH,46853.0,9,9.0
33314,FL,30248.0,9,9.0
85283,AZ,45736.0,9,9.0
37203,TN,20429.0,9,9.0
90404,CA,21995.0,9,9.0
60062,IL,42751.0,9,9.0
95662,CA,32688.0,9,9.0
95126,CA,37372.0,9,9.0
93110,CA,16317.0,9,9.0
70006,LA,16540.0,9,9.0
98405,WA,24617.0,9,9.0
70503,LA,27497.0,9,9.0
39819,GA,12117.0,9,9.0
41240,KY,6279.0,9,9.0
55432,MN,33022.0,9,9.0
90043,CA,46179.0,9,9.0
94612,CA,19773.0,9,9.0
98383,WA,21565.0,9,9.0
99709,AK,28613.0,9,9.0
92879,CA,47243.0,9,9.0
92037,CA,41260.0,9,9.0
90802,CA,41686.0,9,9.0
90007,CA,40944.0,9,9.0
54016,WI,33198.0,9,9.0
61108,IL,29660.0,9,9.0
91107,CA,33729.0,9,9.0
56601,MN,34647.0,9,9.0
33127,FL,27692.0,9,9.0
85711,AZ,41518.0,9,9.0
67214,KS,15936.0,9,9.0
38104,TN,22584.0,9,9.0
20001,DC,49040.0,9,9.0
85007,AZ,14442.0,9,9.0
86004,AZ,38451.0,9,9.0
34744,FL,59232.0,9,9.0
08012,NJ,38581.0,9,9.0
12065,NY,43893.0,9,9.0
33317,FL,37590.0,9,9.0
90008,CA,33041.0,9,9.0
99336,WA,51127.0,9,9.0
90035,CA,30294.0,9,9.0
77063,TX,38298.0,9,9.0
08034,NJ,19256.0,9,9.0
77057,TX,43669.0,9,9.0
33486,FL,22947.0,9,9.0
33919,FL,30587.0,9,9.0
90036,CA,39549.0,9,9.0
07032,NJ,41999.0,9,9.0
64804,MO,38078.0,9,9.0
24016,VA,9371.0,9,9.0
75057,TX,16001.0,9,9.0
59405,MT,33578.0,9,9.0
90028,CA,32330.0,9,9.0
56201,MN,24575.0,9,9.0
23116,VA,32410.0,9,9.0
84095,UT,39278.0,9,9.0
80206,CO,26108.0,9,9.0
87124,NM,59781.0,9,9.0
70806,LA,27898.0,9,9.0
85027,AZ,38343.0,9,9.0
93701,CA,12037.0,9,9.0
48917,MI,32679.0,9,9.0
80110,CO,23279.0,9,9.0
84094,UT,28751.0,9,9.0
19382,PA,52498.0,9,9.0
89074,NV,52243.0,9,9.0
77077,TX,61302.0,9,9.0
78212,TX,26738.0,9,9.0
90038,CA,27414.0,9,9.0
44130,OH,50825.0,9,9.0
