zipcode,state,population,is_sud_rehab_clinic,is_sud_rehab_clinic_capped_viz
97301,OR,56393.0,5,5.0
59101,MT,41522.0,5,5.0
03301,NH,33352.0,5,5.0
01803,MA,26074.0,5,5.0
63103,MO,9411.0,5,5.0
70119,LA,38048.0,5,5.0
60636,IL,34800.0,5,5.0
60643,IL,47831.0,5,5.0
92647,CA,60455.0,5,5.0
89121,NV,68692.0,5,5.0
85201,AZ,51187.0,5,5.0
80223,CO,19862.0,5,5.0
43302,OH,54094.0,5,5.0
67207,KS,28143.0,5,5.0
63901,MO,34354.0,5,5.0
67214,KS,15936.0,5,5.0
65804,MO,40064.0,5,5.0
85202,AZ,39626.0,5,5.0
92704,CA,82841.0,5,5.0
19801,DE,16219.0,5,5.0
37115,TN,39821.0,5,5.0
84111,UT,12162.0,5,5.0
31406,GA,34579.0,5,5.0
90731,CA,61270.0,5,5.0
06604,CT,30003.0,5,5.0
81601,CO,16484.0,5,5.0
85032,AZ,68710.0,5,5.0
86303,AZ,18201.0,5,5.0
45804,OH,14573.0,5,5.0
94609,CA,23578.0,5,5.0
91364,CA,27071.0,5,5.0
91411,CA,24984.0,5,5.0
77006,TX,24129.0,5,5.0
60187,IL,30059.0,5,5.0
60085,IL,71609.0,5,5.0
48202,MI,17260.0,5,5.0
59901,MT,57900.0,5,5.0
43623,OH,20320.0,5,5.0
60506,IL,52011.0,5,5.0
44129,OH,28803.0,5,5.0
20002,DC,69422.0,5,5.0
41701,KY,16761.0,5,5.0
60515,IL,29278.0,5,5.0
60612,IL,34402.0,5,5.0
60624,IL,37547.0,5,5.0
49866,MI,8259.0,5,5.0
21014,MD,38395.0,5,5.0
80301,CO,25944.0,5,5.0
08012,NJ,38581.0,5,5.0
33062,FL,25293.0,5,5.0
95827,CA,21566.0,5,5.0
07724,NJ,23494.0,5,5.0
89032,NV,47324.0,5,5.0
80031,CO,37254.0,5,5.0
07735,NJ,18652.0,5,5.0
32114,FL,34943.0,5,5.0
85745,AZ,36774.0,5,5.0
80910,CO,30991.0,5,5.0
33458,FL,55083.0,5,5.0
80003,CO,36258.0,5,5.0
33021,FL,50091.0,5,5.0
21236,MD,40555.0,5,5.0
33442,FL,32340.0,5,5.0
11201,NY,69703.0,5,5.0
94509,CA,69931.0,4,4.0
19067,PA,53153.0,4,4.0
19406,PA,28553.0,4,4.0
11432,NY,65743.0,4,4.0
95826,CA,39902.0,4,4.0
91001,CA,36578.0,4,4.0
90031,CA,37333.0,4,4.0
10467,NY,103660.0,4,4.0
80907,CO,28806.0,4,4.0
92651,CA,24096.0,4,4.0
66046,KS,19903.0,4,4.0
93454,CA,40994.0,4,4.0
45229,OH,12540.0,4,4.0
45505,OH,19708.0,4,4.0
85302,AZ,41369.0,4,4.0
45432,OH,15105.0,4,4.0
93662,CA,30774.0,4,4.0
44240,OH,38354.0,4,4.0
62650,IL,24891.0,4,4.0
90068,CA,24361.0,4,4.0
45150,OH,33735.0,4,4.0
93654,CA,30620.0,4,4.0
90221,CA,52561.0,4,4.0
33145,FL,29737.0,4,4.0
92102,CA,39783.0,4,4.0
92103,CA,33311.0,4,4.0
21742,MD,33069.0,4,4.0
71203,LA,37438.0,4,4.0
92123,CA,30937.0,4,4.0
19140,PA,52124.0,4,4.0
10013,NY,31042.0,4,4.0
08550,NJ,21034.0,4,4.0
90670,CA,17761.0,4,4.0
91344,CA,52481.0,4,4.0
77079,TX,36404.0,4,4.0
93705,CA,38125.0,4,4.0
29615,SC,38684.0,4,4.0
90035,CA,30294.0,4,4.0
07960,NJ,45609.0,4,4.0
60062,IL,42751.0,4,4.0
91767,CA,51654.0,4,4.0
81089,CO,4656.0,4,4.0
81004,CO,26005.0,4,4.0
33316,FL,12669.0,4,4.0
90044,CA,94354.0,4,4.0
92806,CA,40649.0,4,4.0
45417,OH,28079.0,4,4.0
92868,CA,27127.0,4,4.0
92691,CA,47918.0,4,4.0
90720,CA,22955.0,4,4.0
82901,WY,28005.0,4,4.0
93703,CA,34840.0,4,4.0
91401,CA,39621.0,4,4.0
37923,TN,29705.0,4,4.0
75074,TX,53003.0,4,4.0
70601,LA,34571.0,4,4.0
91605,CA,54341.0,4,4.0
21122,MD,62368.0,4,4.0
19122,PA,26668.0,4,4.0
38671,MS,36073.0,4,4.0
61401,IL,31169.0,4,4.0
77074,TX,40199.0,4,4.0
98584,WA,39266.0,4,4.0
98901,WA,32351.0,4,4.0
92879,CA,47243.0,4,4.0
23235,VA,34058.0,4,4.0
92570,CA,59015.0,4,4.0
23059,VA,40249.0,4,4.0
30101,GA,61989.0,4,4.0
46205,IN,27531.0,4,4.0
07860,NJ,25704.0,4,4.0
91342,CA,96429.0,4,4.0
80701,CO,16101.0,4,4.0
60016,IL,61888.0,4,4.0
77040,TX,49524.0,4,4.0
23462,VA,68045.0,4,4.0
98273,WA,31243.0,4,4.0
99654,AK,40726.0,4,4.0
77093,TX,47736.0,4,4.0
92395,CA,47556.0,4,4.0
93625,CA,8194.0,4,4.0
93702,CA,45741.0,4,4.0
84601,UT,33986.0,4,4.0
70001,LA,40068.0,4,4.0
98362,WA,23571.0,4,4.0
98405,WA,24617.0,4,4.0
08103,NJ,12862.0,4,4.0
94601,CA,54166.0,4,4.0
91362,CA,35803.0,4,4.0
30067,GA,47653.0,4,4.0
23225,VA,40876.0,4,4.0
98106,WA,26295.0,4,4.0
98203,WA,37491.0,4,4.0
43224,OH,43544.0,4,4.0
33706,FL,15309.0,4,4.0
43614,OH,29866.0,4,4.0
27707,NC,49787.0,4,4.0
60639,IL,89543.0,4,4.0
85704,AZ,34430.0,4,4.0
92509,CA,78166.0,4,4.0
27858,NC,52857.0,4,4.0
60950,IL,11996.0,4,4.0
19947,DE,20964.0,4,4.0
20020,DC,51616.0,4,4.0
55114,MN,5012.0,4,4.0
48917,MI,32679.0,4,4.0
80030,CO,15885.0,4,4.0
21629,MD,9911.0,4,4.0
08060,NJ,25426.0,4,4.0
75601,TX,15813.0,4,4.0
93622,CA,9884.0,4,4.0
30076,GA,43786.0,4,4.0
28054,NC,40548.0,4,4.0
85017,AZ,45279.0,4,4.0
98948,WA,13416.0,4,4.0
77007,TX,42908.0,4,4.0
03431,NH,24978.0,4,4.0
85710,AZ,57381.0,4,4.0
19382,PA,52498.0,4,4.0
33484,FL,26340.0,4,4.0
07201,NJ,29390.0,4,4.0
91303,CA,28457.0,4,4.0
84401,UT,42968.0,4,4.0
07103,NJ,39439.0,4,4.0
98502,WA,35698.0,4,4.0
28376,NC,43160.0,4,4.0
33467,FL,55813.0,4,4.0
93063,CA,55076.0,4,4.0
18018,PA,32388.0,4,4.0
98516,WA,29443.0,4,4.0
83704,ID,42430.0,4,4.0
85051,AZ,46123.0,4,4.0
90302,CA,29264.0,4,4.0
60411,IL,53515.0,4,4.0
61701,IL,34497.0,4,4.0
20012,DC,15485.0,4,4.0
30269,GA,39481.0,4,4.0
45420,OH,25045.0,4,4.0
44112,OH,18685.0,4,4.0
80524,CO,39030.0,4,4.0
48185,MI,49730.0,4,4.0
91502,CA,11665.0,4,4.0
21001,MD,25714.0,4,4.0
53212,WI,28702.0,4,4.0
30022,GA,66667.0,4,4.0
29201,SC,25259.0,4,4.0
76104,TX,21571.0,4,4.0
22602,VA,30865.0,4,4.0
37211,TN,81830.0,4,4.0
58301,ND,10105.0,4,4.0
43130,OH,62010.0,4,4.0
02891,RI,21803.0,4,4.0
33436,FL,45230.0,4,4.0
30338,GA,37650.0,4,4.0
55404,MN,29322.0,4,4.0
63640,MO,29145.0,4,4.0
94102,CA,39432.0,4,4.0
07442,NJ,11101.0,4,4.0
21044,MD,44284.0,4,4.0
47905,IN,41787.0,4,4.0
43204,OH,42315.0,4,4.0
90305,CA,15367.0,4,4.0
71101,LA,6560.0,4,4.0
80026,CO,32318.0,4,4.0
87124,NM,59781.0,4,4.0
63501,MO,21501.0,4,4.0
15146,PA,28672.0,4,4.0
60463,IL,14048.0,4,4.0
76701,TX,1674.0,4,4.0
60160,IL,24776.0,4,4.0
94621,CA,35816.0,4,4.0
94607,CA,31067.0,4,4.0
19063,PA,38338.0,4,4.0
30071,GA,25629.0,4,4.0
30092,GA,35988.0,4,4.0
19720,DE,61043.0,4,4.0
71104,LA,13680.0,4,4.0
80443,CO,4170.0,4,4.0
08037,NJ,23814.0,4,4.0
43207,OH,46853.0,4,4.0
58201,ND,42598.0,4,4.0
85301,AZ,67380.0,4,4.0
84097,UT,23038.0,4,4.0
92311,CA,34524.0,4,4.0
55033,MN,29701.0,4,4.0
46902,IN,36038.0,4,4.0
80905,CO,17592.0,4,4.0
43235,OH,45561.0,4,4.0
58501,ND,28388.0,4,4.0
02169,MA,62140.0,4,4.0
80214,CO,26493.0,4,4.0
77022,TX,28748.0,4,4.0
61021,IL,22984.0,4,4.0
07006,NJ,26733.0,4,4.0
07306,NJ,55342.0,4,4.0
59501,MT,12676.0,4,4.0
61032,IL,29110.0,4,4.0
95628,CA,42824.0,4,4.0
84074,UT,55001.0,4,4.0
70458,LA,37798.0,4,4.0
89146,NV,19777.0,4,4.0
80204,CO,35269.0,4,4.0
85122,AZ,55063.0,4,4.0
37067,TN,31465.0,4,4.0
33311,FL,69413.0,4,4.0
38655,MS,44153.0,4,4.0
08628,NJ,10310.0,4,4.0
40503,KY,28073.0,4,4.0
85306,AZ,25663.0,4,4.0
90046,CA,49987.0,4,4.0
80110,CO,23279.0,4,4.0
40324,KY,51035.0,4,4.0
92507,CA,63191.0,4,4.0
92530,CA,59098.0,4,4.0
60609,IL,65770.0,4,4.0
05060,VT,4590.0,4,4.0
80236,CO,16565.0,4,4.0
59405,MT,33578.0,4,4.0
92649,CA,34082.0,4,4.0
78028,TX,40789.0,4,4.0
95206,CA,69350.0,4,4.0
55113,MN,41699.0,4,4.0
06515,CT,17877.0,4,4.0
60647,IL,85631.0,4,4.0
02919,RI,29473.0,4,4.0
24016,VA,9371.0,4,4.0
84058,UT,33734.0,4,4.0
84119,UT,54143.0,4,4.0
63401,MO,21901.0,4,4.0
45504,OH,17343.0,4,4.0
02842,RI,17115.0,4,4.0
85138,AZ,46914.0,4,4.0
01103,MA,2545.0,4,4.0
01605,MA,29218.0,4,4.0
02907,RI,29827.0,4,4.0
45638,OH,20114.0,4,4.0
60620,IL,66514.0,4,4.0
60617,IL,77270.0,4,4.0
33433,FL,46302.0,4,4.0
92083,CA,39219.0,4,4.0
85013,AZ,21970.0,4,4.0
84115,UT,27588.0,4,4.0
44483,OH,24840.0,4,4.0
92543,CA,39323.0,4,4.0
93901,CA,29700.0,4,4.0
44505,OH,17048.0,4,4.0
10027,NY,64037.0,4,4.0
08901,NJ,56278.0,4,4.0
95758,CA,64517.0,3,3.0
78753,TX,58761.0,3,3.0
33756,FL,31807.0,3,3.0
38018,TN,37086.0,3,3.0
23605,VA,14053.0,3,3.0
68137,NE,26537.0,3,3.0
38134,TN,41760.0,3,3.0
10010,NY,33991.0,3,3.0
21227,MD,35837.0,3,3.0
21220,MD,44568.0,3,3.0
48127,MI,41222.0,3,3.0
01105,MA,12051.0,3,3.0
97601,OR,23264.0,3,3.0
93536,CA,74283.0,3,3.0
92870,CA,52749.0,3,3.0
91040,CA,21588.0,3,3.0
91302,CA,25468.0,3,3.0
90047,CA,50154.0,3,3.0
38372,TN,17939.0,3,3.0
33014,FL,40261.0,3,3.0
60657,IL,72316.0,3,3.0
02852,RI,23579.0,3,3.0
02908,RI,38507.0,3,3.0
51632,IA,7024.0,3,3.0
80113,CO,22821.0,3,3.0
90405,CA,27966.0,3,3.0
81132,CO,2977.0,3,3.0
44718,OH,12607.0,3,3.0
60610,IL,43794.0,3,3.0
46901,IN,38072.0,3,3.0
06880,CT,27233.0,3,3.0
60626,IL,50548.0,3,3.0
18101,PA,5108.0,3,3.0
91752,CA,38610.0,3,3.0
21075,MD,35900.0,3,3.0
07080,NJ,24261.0,3,3.0
07087,NJ,68611.0,3,3.0
57105,SD,22635.0,3,3.0
08609,NJ,14867.0,3,3.0
92201,CA,66989.0,3,3.0
92307,CA,41649.0,3,3.0
81611,CO,9637.0,3,3.0
92688,CA,44688.0,3,3.0
30909,GA,48181.0,3,3.0
20110,VA,49120.0,3,3.0
89117,NV,57497.0,3,3.0
90061,CA,29570.0,3,3.0
65775,MO,24519.0,3,3.0
37421,TN,51686.0,3,3.0
85204,AZ,63808.0,3,3.0
03079,NH,30095.0,3,3.0
95820,CA,36848.0,3,3.0
83705,ID,27756.0,3,3.0
15301,PA,48963.0,3,3.0
31522,GA,16892.0,3,3.0
08079,NJ,10793.0,3,3.0
32792,FL,51376.0,3,3.0
60632,IL,92237.0,3,3.0
06810,CT,55200.0,3,3.0
64772,MO,12897.0,3,3.0
91104,CA,34707.0,3,3.0
76710,TX,24874.0,3,3.0
95202,CA,6949.0,3,3.0
19401,PA,43414.0,3,3.0
95060,CA,47931.0,3,3.0
08087,NJ,25191.0,3,3.0
08879,NJ,22965.0,3,3.0
08050,NJ,26507.0,3,3.0
27217,NC,39556.0,3,3.0
08648,NJ,31955.0,3,3.0
07663,NJ,14294.0,3,3.0
16601,PA,32764.0,3,3.0
84047,UT,37146.0,3,3.0
30309,GA,31856.0,3,3.0
28403,NC,38134.0,3,3.0
38119,TN,23997.0,3,3.0
90059,CA,43551.0,3,3.0
80228,CO,34836.0,3,3.0
30236,GA,50446.0,3,3.0
27704,NC,39532.0,3,3.0
27407,NC,49803.0,3,3.0
07055,NJ,70518.0,3,3.0
33025,FL,75455.0,3,3.0
17701,PA,43197.0,3,3.0
83201,ID,38921.0,3,3.0
19083,PA,36964.0,3,3.0
07501,NJ,37918.0,3,3.0
61265,IL,44342.0,3,3.0
63141,MO,21995.0,3,3.0
80233,CO,48050.0,3,3.0
43040,OH,35853.0,3,3.0
80504,CO,60183.0,3,3.0
89130,NV,34212.0,3,3.0
43606,OH,25671.0,3,3.0
43605,OH,25007.0,3,3.0
87110,NM,38441.0,3,3.0
97128,OR,38394.0,3,3.0
91010,CA,26730.0,3,3.0
89148,NV,61281.0,3,3.0
08096,NJ,36355.0,3,3.0
36609,AL,24265.0,3,3.0
41240,KY,6279.0,3,3.0
05602,VT,12235.0,3,3.0
02904,RI,31542.0,3,3.0
02886,RI,29373.0,3,3.0
06108,CT,24201.0,3,3.0
80906,CO,39019.0,3,3.0
45459,OH,28344.0,3,3.0
20650,MD,15298.0,3,3.0
07018,NJ,30429.0,3,3.0
02540,MA,8450.0,3,3.0
35405,AL,45155.0,3,3.0
27203,NC,21869.0,3,3.0
36801,AL,24590.0,3,3.0
82435,WY,12093.0,3,3.0
70427,LA,17941.0,3,3.0
81212,CO,31643.0,3,3.0
33321,FL,51011.0,3,3.0
85259,AZ,22548.0,3,3.0
08205,NJ,28666.0,3,3.0
55425,MN,10281.0,3,3.0
37130,TN,59677.0,3,3.0
47909,IN,42759.0,3,3.0
07114,NJ,17767.0,3,3.0
19703,DE,16175.0,3,3.0
30141,GA,23616.0,3,3.0
27262,NC,25253.0,3,3.0
92677,CA,64355.0,3,3.0
76010,TX,55894.0,3,3.0
