zipcode,state,population,is_multispecialty_clinic_per_100k,is_multispecialty_clinic_per_100k_capped_viz
28428,NC,6848.0,29.20560747663551,29.20560747663551
55425,MN,10281.0,29.18004085205719,29.18004085205719
84107,UT,37713.0,29.167661018746852,29.167661018746852
76015,TX,17185.0,29.09514111143439,29.09514111143439
60612,IL,34402.0,29.06807743735829,29.06807743735829
47102,IN,6884.0,29.052876234747238,29.052876234747238
53042,WI,6886.0,29.04443799012489,29.04443799012489
33406,FL,27663.0,28.91949535480606,28.91949535480606
89106,NV,27695.0,28.88608051994945,28.88608051994945
56482,MN,6925.0,28.88086642599278,28.88086642599278
92108,CA,24266.0,28.8469463446798,28.8469463446798
32435,FL,6935.0,28.839221341023794,28.839221341023794
92663,CA,20812.0,28.829521429944265,28.829521429944265
25303,WV,6946.0,28.793550244745177,28.793550244745177
02645,MA,10436.0,28.74664622460713,28.74664622460713
44307,OH,6959.0,28.739761459979885,28.739761459979885
61354,IL,10447.0,28.71637790753326,28.71637790753326
13202,NY,6967.0,28.706760442084114,28.706760442084114
33143,FL,34853.0,28.69193469715663,28.69193469715663
20190,VA,20957.0,28.630052011261153,28.630052011261153
20769,MD,7009.0,28.534741047224998,28.534741047224998
83661,ID,10537.0,28.471101831640883,28.471101831640883
33012,FL,70260.0,28.465698832906348,28.465698832906348
19107,PA,17600.0,28.409090909090907,28.409090909090907
60607,IL,31816.0,28.287654010560725,28.287654010560725
77477,TX,35520.0,28.153153153153152,28.153153153153152
41858,KY,7150.0,27.972027972027973,27.972027972027973
32960,FL,21522.0,27.878449958182326,27.878449958182326
11733,NY,17967.0,27.828797239383317,27.828797239383317
81321,CO,14402.0,27.773920288848768,27.773920288848768
85007,AZ,14442.0,27.69699487605595,27.69699487605595
25702,WV,7223.0,27.689325764917626,27.689325764917626
62441,IL,7236.0,27.63957987838585,27.63957987838585
59901,MT,57900.0,27.633851468048363,27.633851468048363
54904,WI,21828.0,27.48763056624519,27.48763056624519
27401,NC,21854.0,27.454928159604645,27.454928159604645
41653,KY,10937.0,27.429825363445183,27.429825363445183
63401,MO,21901.0,27.396009314643166,27.396009314643166
49008,MI,18343.0,27.25835468571117,27.25835468571117
33614,FL,47695.0,27.256525841283157,27.256525841283157
97220,OR,29357.0,27.25074087951766,27.25074087951766
49938,MI,7340.0,27.247956403269757,27.247956403269757
33409,FL,33061.0,27.22240706572699,27.22240706572699
47586,IN,11027.0,27.20594903418881,27.20594903418881
12188,NY,11035.0,27.186225645672856,27.186225645672856
85003,AZ,11042.0,27.168991124796232,27.168991124796232
84653,UT,11103.0,27.01972439881113,27.01972439881113
69162,NE,7414.0,26.975991367682763,26.975991367682763
21202,MD,22247.0,26.969928529689394,26.969928529689394
86336,AZ,11125.0,26.96629213483146,26.96629213483146
77094,TX,11150.0,26.90582959641256,26.90582959641256
16870,PA,7452.0,26.838432635534083,26.838432635534083
28557,NC,14910.0,26.82763246143528,26.82763246143528
48334,MI,18731.0,26.69371629918317,26.69371629918317
40513,KY,11244.0,26.680896478121667,26.680896478121667
33761,FL,18761.0,26.651031394914984,26.651031394914984
72501,AR,26444.0,26.471033126607168,26.471033126607168
27028,NC,26479.0,26.436043657237814,26.436043657237814
37146,TN,7567.0,26.430553720100438,26.430553720100438
85260,AZ,37967.0,26.338662522717097,26.338662522717097
81506,CO,11412.0,26.288117770767613,26.288117770767613
33016,FL,45714.0,26.2501640635254,26.2501640635254
44114,OH,7622.0,26.239832065074783,26.239832065074783
98908,WA,38205.0,26.174584478471406,26.174584478471406
12308,NY,15285.0,26.169447170428526,26.169447170428526
33701,FL,19137.0,26.12739718869206,26.12739718869206
98620,WA,7655.0,26.126714565643372,26.126714565643372
46250,IN,19156.0,26.101482564209647,26.101482564209647
30742,GA,7698.0,25.98077422707197,25.98077422707197
32819,FL,30857.0,25.92604595391645,25.92604595391645
28759,NC,7728.0,25.87991718426501,25.87991718426501
76012,TX,27080.0,25.8493353028065,25.8493353028065
78701,TX,11625.0,25.806451612903228,25.806451612903228
32701,FL,23265.0,25.78981302385558,25.78981302385558
56303,MN,27305.0,25.636330342428128,25.636330342428128
85336,AZ,7810.0,25.60819462227913,25.60819462227913
36207,AL,19553.0,25.57152355137319,25.57152355137319
08869,NJ,7835.0,25.526483726866623,25.526483726866623
25801,WV,31369.0,25.502885013867193,25.502885013867193
54915,WI,43190.0,25.468858532067607,25.468858532067607
30337,GA,11810.0,25.402201524132092,25.402201524132092
29678,SC,23700.0,25.31645569620253,25.31645569620253
80920,CO,39540.0,25.290844714213456,25.290844714213456
67124,KS,7922.0,25.246149962130776,25.246149962130776
30525,GA,7937.0,25.198437696862793,25.198437696862793
14892,NY,7949.0,25.160397534281042,25.160397534281042
43935,OH,7968.0,25.1004016064257,25.1004016064257
95453,CA,11978.0,25.045917515444984,25.045917515444984
80525,CO,55901.0,25.044274699915924,25.044274699915924
38119,TN,23997.0,25.003125390673837,25.003125390673837
37909,TN,16066.0,24.897298643097226,24.897298643097226
53014,WI,8073.0,24.77393781741608,24.77393781741608
29135,SC,8074.0,24.770869457517957,24.770869457517957
60646,IL,28383.0,24.662650177923407,24.662650177923407
84101,UT,8140.0,24.570024570024568,24.570024570024568
89119,NV,48895.0,24.54238674711116,24.54238674711116
53948,WI,8151.0,24.5368666421298,24.5368666421298
37203,TN,20429.0,24.475011013754955,24.475011013754955
33030,FL,36776.0,24.472482053513165,24.472482053513165
95661,CA,32847.0,24.355344475903433,24.355344475903433
84094,UT,28751.0,24.346979235504854,24.346979235504854
85395,AZ,37157.0,24.221546411174206,24.221546411174206
23230,VA,8263.0,24.20428415829602,24.20428415829602
74104,OK,12395.0,24.20330778539734,24.20330778539734
33853,FL,12404.0,24.18574653337633,24.18574653337633
70006,LA,16540.0,24.183796856106408,24.183796856106408
78229,TX,33135.0,24.143654745737134,24.143654745737134
96814,HI,24870.0,24.125452352231605,24.125452352231605
62062,IL,8297.0,24.10509822827528,24.10509822827528
33803,FL,29082.0,24.069871398115673,24.069871398115673
33907,FL,24980.0,24.019215372297836,24.019215372297836
99615,AK,12495.0,24.009603841536617,24.009603841536617
63664,MO,8333.0,24.000960038401537,24.000960038401537
80435,CO,8344.0,23.969319271332694,23.969319271332694
11516,NY,8394.0,23.82654276864427,23.82654276864427
89406,NV,25204.0,23.80574511982225,23.80574511982225
44718,OH,12607.0,23.796303640834456,23.796303640834456
84403,UT,37847.0,23.77995613919201,23.77995613919201
93003,CA,50558.0,23.735116104276276,23.735116104276276
25550,WV,8432.0,23.719165085388994,23.719165085388994
33316,FL,12669.0,23.679848448969928,23.679848448969928
41230,KY,12670.0,23.677979479084453,23.677979479084453
23226,VA,16955.0,23.59186080802123,23.59186080802123
54457,WI,8478.0,23.590469450342063,23.590469450342063
30442,GA,8515.0,23.48796241926013,23.48796241926013
57501,SD,17083.0,23.415091026166365,23.415091026166365
48912,MI,17155.0,23.316817254444768,23.316817254444768
56425,MN,8584.0,23.29916123019571,23.29916123019571
33634,FL,21465.0,23.293733985557886,23.293733985557886
21286,MD,21470.0,23.28830926874709,23.28830926874709
84060,UT,8621.0,23.199164830066117,23.199164830066117
33407,FL,34558.0,23.149487817582038,23.149487817582038
91204,CA,17302.0,23.11871459946827,23.11871459946827
28472,NC,17308.0,23.110700254217704,23.110700254217704
98004,WA,39136.0,22.996729354047424,22.996729354047424
24266,VA,8705.0,22.975301550832857,22.975301550832857
33511,FL,56627.0,22.957246543168452,22.957246543168452
39428,MS,8726.0,22.920009168003666,22.920009168003666
33131,FL,26213.0,22.889406019913782,22.889406019913782
16830,PA,13121.0,22.864110967151895,22.864110967151895
89801,NV,26250.0,22.857142857142858,22.857142857142858
46410,IN,39471.0,22.80155050543437,22.80155050543437
26651,WV,8774.0,22.794620469569182,22.794620469569182
33432,FL,22061.0,22.66443044286297,22.66443044286297
33618,FL,26474.0,22.66374556168316,22.66374556168316
24450,VA,17654.0,22.657754616517504,22.657754616517504
34429,FL,8837.0,22.632114971144055,22.632114971144055
30308,GA,22121.0,22.602956466705844,22.602956466705844
21239,MD,26605.0,22.5521518511558,22.5521518511558
80033,CO,26618.0,22.541137576076338,22.541137576076338
86403,AZ,17787.0,22.488334176645868,22.488334176645868
33606,FL,22271.0,22.450720668133446,22.450720668133446
62832,IL,8921.0,22.419011321600717,22.419011321600717
32256,FL,53611.0,22.383466079722446,22.383466079722446
94598,CA,26826.0,22.366360993066426,22.366360993066426
33014,FL,40261.0,22.35413924144954,22.35413924144954
64735,MO,13450.0,22.304832713754646,22.304832713754646
02451,MA,17953.0,22.280398819138863,22.280398819138863
44115,OH,8985.0,22.25932109070673,22.25932109070673
98057,WA,13493.0,22.233750833765654,22.233750833765654
33165,FL,54070.0,22.19345293138524,22.19345293138524
73118,OK,13521.0,22.18770800976259,22.18770800976259
14760,NY,18031.0,22.18401641617215,22.18401641617215
80124,CO,22541.0,22.18180204959851,22.18180204959851
85050,AZ,31591.0,22.158209616662973,22.158209616662973
82601,WY,27180.0,22.075055187637968,22.075055187637968
78731,TX,27240.0,22.026431718061676,22.026431718061676
30401,GA,13649.0,21.97963220748773,21.97963220748773
85390,AZ,9102.0,21.973192704900022,21.973192704900022
60131,IL,18205.0,21.971985718209282,21.971985718209282
84103,UT,22788.0,21.941372652273124,21.941372652273124
63131,MO,18241.0,21.928622334301846,21.928622334301846
77450,TX,72977.0,21.924716006412982,21.924716006412982
85344,AZ,9137.0,21.88902265513845,21.88902265513845
44515,OH,27480.0,21.83406113537118,21.83406113537118
31730,GA,9160.0,21.83406113537118,21.83406113537118
70503,LA,27497.0,21.820562243153798,21.820562243153798
33403,FL,13779.0,21.77226213803614,21.77226213803614
48075,MI,22967.0,21.770366177559104,21.770366177559104
33445,FL,32265.0,21.695335502866882,21.695335502866882
90292,CA,27681.0,21.675517502980384,21.675517502980384
59711,MT,9234.0,21.659085986571366,21.659085986571366
27892,NC,13864.0,21.63877668782458,21.63877668782458
30290,GA,9256.0,21.6076058772688,21.6076058772688
41101,KY,18559.0,21.552885392531923,21.552885392531923
28337,NC,9285.0,21.54011847065159,21.54011847065159
28203,NC,18572.0,21.537798836958864,21.537798836958864
80110,CO,23279.0,21.478585849907642,21.478585849907642
80111,CO,32672.0,21.42507345739471,21.42507345739471
64112,MO,9344.0,21.404109589041095,21.404109589041095
30303,GA,9352.0,21.3857998289136,21.3857998289136
34233,FL,18723.0,21.36409763392619,21.36409763392619
34639,FL,28165.0,21.30303568258477,21.30303568258477
78730,TX,9403.0,21.26980750824205,21.26980750824205
75038,TX,32928.0,21.258503401360542,21.258503401360542
28374,NC,18818.0,21.25624402168137,21.25624402168137
54452,WI,18851.0,21.219033473025306,21.219033473025306
77036,TX,75870.0,21.088704362725714,21.088704362725714
77027,TX,18987.0,21.06704587349239,21.06704587349239
37215,TN,23756.0,21.04731436268732,21.04731436268732
63017,MO,42773.0,21.04131110747434,21.04131110747434
60016,IL,61888.0,21.005687693898658,21.005687693898658
07663,NJ,14294.0,20.987827060305023,20.987827060305023
50309,IA,9532.0,20.981955518254303,20.981955518254303
40218,KY,33437.0,20.9348924843736,20.9348924843736
77063,TX,38298.0,20.888819259491356,20.888819259491356
75951,TX,14370.0,20.876826722338205,20.876826722338205
33540,FL,9603.0,20.82682495053629,20.82682495053629
77081,TX,48293.0,20.706934752448596,20.706934752448596
63117,MO,9660.0,20.70393374741201,20.70393374741201
48201,MI,14500.0,20.689655172413794,20.689655172413794
36609,AL,24265.0,20.605810838656502,20.605810838656502
72211,AR,24338.0,20.544005259265347,20.544005259265347
80218,CO,19484.0,20.529665366454527,20.529665366454527
54487,WI,9750.0,20.51282051282051,20.51282051282051
12065,NY,43893.0,20.50440844781628,20.50440844781628
93534,CA,43906.0,20.498337357081038,20.498337357081038
60515,IL,29278.0,20.4932030876426,20.4932030876426
64701,MO,14681.0,20.434575301409986,20.434575301409986
10019,NY,49029.0,20.396092108751965,20.396092108751965
46617,IN,9813.0,20.38112707632732,20.38112707632732
97218,OR,14748.0,20.34174125305126,20.34174125305126
30329,GA,29506.0,20.33484714973226,20.33484714973226
12110,NY,19682.0,20.3231378924906,20.3231378924906
28562,NC,39375.0,20.317460317460316,20.317460317460316
98405,WA,24617.0,20.311167079660397,20.311167079660397
66007,KS,9875.0,20.253164556962027,20.253164556962027
53705,WI,24695.0,20.24701356549909,20.24701356549909
94612,CA,19773.0,20.229606028422598,20.229606028422598
94105,CA,14841.0,20.214271275520517,20.214271275520517
42071,KY,29703.0,20.199979800020202,20.199979800020202
22601,VA,29720.0,20.18842530282638,20.18842530282638
77002,TX,19844.0,20.157226365652086,20.157226365652086
81050,CO,9924.0,20.153164046755343,20.153164046755343
66618,KS,9940.0,20.120724346076457,20.120724346076457
62650,IL,24891.0,20.08758185689607,20.08758185689607
38555,TN,19930.0,20.070245860511793,20.070245860511793
22311,VA,19934.0,20.066218521119698,20.066218521119698
33024,FL,74843.0,20.041954491402002,20.041954491402002
77611,TX,9993.0,20.014009806864806,20.014009806864806
60018,IL,30051.0,19.96605770190676,19.96605770190676
55114,MN,5012.0,19.952114924181963,19.952114924181963
40207,KY,30104.0,19.93090619186819,19.93090619186819
21162,MD,5029.0,19.884668920262477,19.884668920262477
48216,MI,5031.0,19.876764062810576,19.876764062810576
85034,AZ,5033.0,19.86886548778065,19.86886548778065
74120,OK,5037.0,19.85308715505261,19.85308715505261
73109,OK,20148.0,19.85308715505261,19.85308715505261
50129,IA,5040.0,19.841269841269842,19.841269841269842
85392,AZ,40363.0,19.8201322993831,19.8201322993831
29201,SC,25259.0,19.794924581337344,19.794924581337344
07420,NJ,5053.0,19.790223629527013,19.790223629527013
53061,WI,5055.0,19.782393669634025,19.782393669634025
98249,WA,5056.0,19.778481012658226,19.778481012658226
