zipcode,state,population,combined_all_facilities_per_100k,combined_all_facilities_per_100k_capped_viz
46580,IN,22381.0,8.936151199678298,8.936151199678298
72904,AR,22402.0,8.927774305865547,8.927774305865547
53402,WI,33621.0,8.92299455697332,8.92299455697332
10970,NY,11211.0,8.919810900008919,8.919810900008919
60007,IL,33670.0,8.910008910008909,8.910008910008909
70611,LA,22457.0,8.905909070668388,8.905909070668388
08226,NJ,11229.0,8.90551251224508,8.90551251224508
32503,FL,33693.0,8.903926631644556,8.903926631644556
19611,PA,11238.0,8.898380494749954,8.898380494749954
59870,MT,11245.0,8.89284126278346,8.89284126278346
46036,IN,11247.0,8.891259891526628,8.891259891526628
37643,TN,33752.0,8.8883621711306,8.8883621711306
95425,CA,11252.0,8.887308922858159,8.887308922858159
78602,TX,33759.0,8.88651915044877,8.88651915044877
97203,OR,33763.0,8.885466338891687,8.885466338891687
34677,FL,22524.0,8.87941751021133,8.87941751021133
73045,OK,11272.0,8.87154009936125,8.87154009936125
89030,NV,56399.0,8.865405414989628,8.865405414989628
31788,GA,11283.0,8.862891075068687,8.862891075068687
29414,SC,45150.0,8.859357696566999,8.859357696566999
25526,WV,22578.0,8.858180529719196,8.858180529719196
72118,AR,22582.0,8.856611460455229,8.856611460455229
48235,MI,45188.0,8.8519075860848,8.8519075860848
78204,TX,11298.0,8.851124092759779,8.851124092759779
20011,DC,67815.0,8.847600088476002,8.847600088476002
11226,NY,101727.0,8.847208705653367,8.847208705653367
19348,PA,22606.0,8.847208705653367,8.847208705653367
17901,PA,22608.0,8.846426043878273,8.846426043878273
33610,FL,45218.0,8.846034764916627,8.846034764916627
42345,KY,11307.0,8.844078889183692,8.844078889183692
92882,CA,67894.0,8.837305211064306,8.837305211064306
13502,NY,33990.0,8.8261253309797,8.8261253309797
30035,GA,22671.0,8.821842882978254,8.821842882978254
75204,TX,34012.0,8.820416323650477,8.820416323650477
75835,TX,11342.0,8.81678716275789,8.81678716275789
32926,FL,22693.0,8.813290441986515,8.813290441986515
