zipcode,state,population,is_multispecialty_clinic,is_multispecialty_clinic_capped_viz
32114,FL,34943.0,5,5.0
34744,FL,59232.0,5,5.0
82401,WY,7001.0,5,5.0
55125,MN,43846.0,5,5.0
48075,MI,22967.0,5,5.0
10022,NY,36708.0,5,5.0
10468,NY,78238.0,5,5.0
85206,AZ,36713.0,5,5.0
33137,FL,25763.0,5,5.0
31533,GA,16714.0,5,5.0
33634,FL,21465.0,5,5.0
33021,FL,50091.0,5,5.0
77449,TX,128180.0,5,5.0
32809,FL,29478.0,5,5.0
75057,TX,16001.0,5,5.0
33064,FL,62429.0,4,4.0
60435,IL,48927.0,4,4.0
75070,TX,57712.0,4,4.0
79936,TX,105150.0,4,4.0
79905,TX,22483.0,4,4.0
33415,FL,51251.0,4,4.0
77407,TX,74657.0,4,4.0
33162,FL,45277.0,4,4.0
32514,FL,40844.0,4,4.0
95758,CA,64517.0,4,4.0
77493,TX,51774.0,4,4.0
94583,CA,38444.0,4,4.0
49503,MI,39344.0,4,4.0
63131,MO,18241.0,4,4.0
56201,MN,24575.0,4,4.0
84124,UT,22872.0,4,4.0
84123,UT,39489.0,4,4.0
85203,AZ,37962.0,4,4.0
85339,AZ,50447.0,4,4.0
80010,CO,42303.0,4,4.0
10005,NY,10639.0,4,4.0
60707,IL,43241.0,4,4.0
61944,IL,11780.0,4,4.0
77521,TX,65058.0,4,4.0
27217,NC,39556.0,4,4.0
42101,KY,64444.0,4,4.0
28677,NC,35926.0,4,4.0
27704,NC,39532.0,4,4.0
45237,OH,21029.0,4,4.0
24450,VA,17654.0,4,4.0
30214,GA,32135.0,4,4.0
90045,CA,41035.0,4,4.0
78620,TX,20493.0,4,4.0
98225,WA,49078.0,4,4.0
21771,MD,30697.0,4,4.0
98103,WA,53056.0,4,4.0
99204,WA,7000.0,4,4.0
21740,MD,65619.0,4,4.0
70605,LA,39903.0,4,4.0
32117,FL,28223.0,4,4.0
78102,TX,27289.0,4,4.0
21804,MD,40049.0,4,4.0
38501,TN,41141.0,4,4.0
82070,WY,20308.0,4,4.0
79701,TX,29748.0,4,4.0
60302,IL,33698.0,4,4.0
32246,FL,58105.0,4,4.0
30310,GA,27365.0,4,4.0
83705,ID,27756.0,4,4.0
92120,CA,30768.0,4,4.0
97701,OR,42159.0,4,4.0
83706,ID,34446.0,4,4.0
56308,MN,26391.0,4,4.0
55416,MN,34129.0,4,4.0
55109,MN,35381.0,4,4.0
07306,NJ,55342.0,4,4.0
07024,NJ,40171.0,4,4.0
21236,MD,40555.0,4,4.0
03110,NH,23322.0,4,4.0
48446,MI,30788.0,4,4.0
77076,TX,32349.0,4,4.0
91204,CA,17302.0,4,4.0
91403,CA,25329.0,4,4.0
16335,PA,27452.0,4,4.0
95991,CA,43345.0,4,4.0
30122,GA,24044.0,4,4.0
40211,KY,21310.0,4,4.0
78503,TX,23604.0,4,4.0
48124,MI,34134.0,4,4.0
22311,VA,19934.0,4,4.0
06810,CT,55200.0,4,4.0
01803,MA,26074.0,4,4.0
02906,RI,25559.0,4,4.0
93309,CA,61079.0,4,4.0
75701,TX,34502.0,4,4.0
22182,VA,27778.0,4,4.0
46256,IN,22598.0,4,4.0
48220,MI,21564.0,4,4.0
