zipcode,state,population,is_substance_abuse_rehab,is_substance_abuse_rehab_capped_viz
38104,TN,22584.0,4,4.0
29615,SC,38684.0,4,4.0
99801,AK,30088.0,4,4.0
84660,UT,45959.0,4,4.0
21044,MD,44284.0,4,4.0
46260,IN,34188.0,4,4.0
46278,IN,8910.0,4,4.0
49441,MI,36886.0,4,4.0
33446,FL,30051.0,4,4.0
33432,FL,22061.0,4,4.0
59801,MT,30629.0,4,4.0
40324,KY,51035.0,4,4.0
28358,NC,32865.0,4,4.0
90808,CA,39747.0,4,4.0
80302,CO,27322.0,4,4.0
87124,NM,59781.0,4,4.0
84106,UT,35892.0,4,4.0
92117,CA,51505.0,4,4.0
32724,FL,40559.0,4,4.0
60624,IL,37547.0,4,4.0
03301,NH,33352.0,4,4.0
84097,UT,23038.0,4,4.0
84095,UT,39278.0,4,4.0
27834,NC,55051.0,4,4.0
95816,CA,18606.0,4,4.0
28262,NC,46048.0,4,4.0
92656,CA,53473.0,4,4.0
98034,WA,51464.0,4,4.0
85142,AZ,80734.0,4,4.0
93711,CA,37901.0,4,4.0
92869,CA,36349.0,4,4.0
84003,UT,52970.0,4,4.0
84747,UT,969.0,4,4.0
94010,CA,44045.0,4,4.0
28803,NC,34108.0,4,4.0
92404,CA,64270.0,4,4.0
80918,CO,47453.0,4,4.0
21804,MD,40049.0,4,4.0
92009,CA,44816.0,4,4.0
48202,MI,17260.0,4,4.0
19382,PA,52498.0,4,4.0
70001,LA,40068.0,4,4.0
83301,ID,60789.0,4,4.0
99508,AK,34394.0,4,4.0
33073,FL,32853.0,4,4.0
91935,CA,8841.0,4,4.0
97205,OR,8593.0,4,4.0
90031,CA,37333.0,4,4.0
93291,CA,63366.0,4,4.0
90404,CA,21995.0,4,4.0
92509,CA,78166.0,4,4.0
92374,CA,43587.0,4,4.0
95695,CA,38956.0,4,4.0
90062,CA,32524.0,4,4.0
77006,TX,24129.0,4,4.0
02852,RI,23579.0,4,4.0
97219,OR,42474.0,4,4.0
92040,CA,43640.0,4,4.0
70802,LA,26519.0,4,4.0
24016,VA,9371.0,4,4.0
08034,NJ,19256.0,4,4.0
21244,MD,38015.0,4,4.0
84005,UT,43113.0,4,4.0
40219,KY,40300.0,4,4.0
33065,FL,59668.0,4,4.0
44117,OH,10533.0,4,4.0
89113,NV,35829.0,4,4.0
85603,AZ,6342.0,4,4.0
97503,OR,12349.0,4,4.0
85392,AZ,40363.0,4,4.0
